Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
Board of Elections and Ethics,DCDL-2008-C-0007,HAVA Program Management Consulting Services,110000,4/3/2009 -                    4/2/2010,No,Option Year 1,Open,No,No,Clifford D. Tatum
Board of Elections and Ethics,DCTO-2010-C-0016,Voting Equipment,918072,3/24/2010 -                    3/23/2011,No,Base,Open,No,No,Election Systems & Software Inc
Board of Elections and Ethics,DCTO-2010-C-0033,Modular Mail Ballot Assembly System,475073,5/5/2010 -                    9/30/2010,No,Base,Sole Source,No,No,Pitney Bowes
Cable Television and Telecommunications,DCTO-2008-B-0113,High Definition Facility Upgrade,705195.74,8/7/2008 -                    10/6/2008,No,Base,Open,Yes,No,"CEI Sales, Inc"
CFSA,DCRL-2013-CB-0043,Home Studies - Maryland,705900,7/10/2013 -                    7/9/2014,Yes,Base Year,Open,Yes,,Lutheran Social Services of the National Capital Area
Child and Family Services Agency,DCRL-2012-H-0077,Medical Support Services,900000,8/23/2012 -                    8/22/2013,No,Base,Agreement,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Magnificus Corporation
Child and Family Services Agency,DCRL-2012-F-0079,Copiers,237187.44,9/1/2012 -                    8/31/2013,No,Base,GSA,No,No,Ricoh Americas Corporation
Child and Family Services Agency,CFSA-11-C-0124,Developmentally Disabled Services,657000,9/30/2012 -                    9/29/2013,No,Option Year 1,Sole Source,No,,"Integrated Community Services, Inc."
Child and Family Services Agency,DCRL-2013-R-0006,Community Based Child Welfare Services,616055,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,Healthy Families/Thriving Communities Collaborative Council
Child and Family Services Agency,DCRL-2013-R-0005,Community Based Child Welfare Services,966191,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,The Georgia Avenue/ Rock Creek East Family Support Collaborative
Child and Family Services Agency,DCRL-2013-R-0004,Community Based Child Welfare Services,2840835,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,"Far Southeast Family Strengthening Collaborative, Inc."
Child and Family Services Agency,DCRL-2013-R-0003,Community Based Child Welfare Services,2662030,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,Edgewood/ Brookland Family Support Collaborative
Child and Family Services Agency,DCRL-2013-R-0001,Community Based Child Welfare Services,1351327,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,Columbia Heights/Shaw Family Support Collaborative
Child and Family Services Agency,DCRL-2013-R-0002,Community Based Child Welfare Services,2091914,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,"East River Family Strengthening Collaborative, Inc."
Child and Family Services Agency,DCRL-2013-C-0014,Consultant Services,632111,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,Center for the Study of Social Policy
Child and Family Services Agency,CFSA-10-C-0013,Consultant Services,450000,10/1/2012 -                    9/30/2013,No,Option Year 3,Sole Source,Yes,,DC Childrens Advocacy/Safe Shore
Child and Family Services Agency,CFSA-07-I-0002,Maryland Home Study Services,668333.28,10/1/2012 -                    9/30/2013,No,Option Year 4 (partial),Open,No,,"Childrens Choice of Maryland, Inc."
Child and Family Services Agency,CFSA-09-C-0065,Maryland Home Study Services,313044.3,10/1/2012 -                    9/30/2013,No,Option Year 4 (partial),Open,No,,Adoptions Together
Child and Family Services Agency,DCRL-2013-C-0013,Mental Health Services,802560,10/1/2012 -                    9/30/2013,Yes,Base Period,Sole Source,No,,Beyond Behaviors
Child and Family Services Agency,DCRL-2013-C-0010,Mental Health Services,454500,10/1/2012 -                    9/30/2013,Yes,Base Period,Sole Source,No,,Crawford Consultants
Child and Family Services Agency,DCRL-2012-R-0059,Psychiatric Residential Treatment Services,313044.3,10/1/2012 -                    9/30/2013,No,Base Year,Sole Source,Yes,,Devereux Florida
Child and Family Services Agency,CFSA-10-C-0052,Consultant Services,150000,10/20/2012 -                    10/19/2013,No,Option Year 3,Sole Source,Yes,,Charlie Samuels
Child and Family Services Agency,DCRL-2013-C-0018,Physician Services,109200,11/1/2012 -                    10/31/2013,No,Base Year,Open,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Magnificus Corporation
Child and Family Services Agency,DCRL-2012-C-0087,In-Home Nursing Services,178816.8,11/21/2012 -                    11/20/2013,No,Base Year,Open,No,No,"Anna Healthcare, Inc."
Child and Family Services Agency,DCRL-2012-R-0008,Physician Services (Psy. Residential Facility),968198.1,1/1/2013 -                    12/31/2013,No,Option Year One,Sole Source,Yes,No,ILIFF Nursing and Rehab Center
Child and Family Services Agency,DCRL-2012-R-0008,Physician Services (Psy. Residential Facility),965552.75,1/1/2013 -                    12/31/2013,No,Option Year 1,Sole Source,Yes,No,ILIFF Nursing and Rehab Center
Child and Family Services Agency,CFSA-12-C-0012,Shuttle Transportation Services,261221.58,1/3/2013 -                    1/2/2014,No,Option Year 1,Set Aside,No,Local                                     Small,"RHG Group, Inc."
Child and Family Services Agency,DCRL-2013-D-0060,Substance Abuse Treatment Services,100000,1/11/2013 -                    5/10/2013,No,Base Period (120 days),Emergency,Yes,No,"Phoenix Houses of the Mid-Atlantic, Inc."
Child and Family Services Agency,DCRL-2013-R-0041,Training and Technical Assistance  Trauma Systems Therapy,175009,3/11/2013 -                    9/10/2013,No,Base Year,Sole Source,Yes,,"KVC Health Systems, Inc."
Child and Family Services Agency,DCRL-2012-C-0047,Federal Revenue Claiming Infrastructure,539105.09,3/14/2013 -                    3/13/2014,No,Option Year 1,Sole Source,No,,"Sivic Solution Group, LLC"
Child and Family Services Agency,CFSA-09-C-0065,Maryland Home Study Services,236556.3,4/1/2013 -                    9/30/2013,No,Option Year 4 (partial),Open,No,,Adoptions Together
Child and Family Services Agency,CFSA-10-C-0132,Psychiatric Residential Treatment Center,889140,4/1/2013 -                    3/31/2014,No,Option Year 3,Open,No,,University Behavioral Center
Child and Family Services Agency,CFSA-10-C-0133,Psychiatric Residential Treatment Center,296380,4/1/2013 -                    3/31/2014,No,Option Year 3,Open,No,,University Behavioral Center
Child and Family Services Agency,CFSA-10-C-0134,Psychiatric Residential Treatment Center,148190,4/1/2013 -                    3/31/2014,No,Option Year 3,Open,No,,University Behavioral Center
Child and Family Services Agency,CFSA-10-C-0135,Psychiatric Residential Treatment Center,444570,4/1/2013 -                    3/31/2014,No,Option Year 3,Open,No,,University Behavioral Center
Child and Family Services Agency,CFSA-10-C-0131,Psychiatric Residential Treatment Center,411720,4/1/2013 -                    3/31/2014,No,Option Year 3,Open,No,,Adventist Health Care
Child and Family Services Agency,CFSA-11-C-0010,Mental Health Services,36125,5/1/2013 -                    9/30/2013,No,Option Year 2,Open,No,,Capital Region Childrens Center
Child and Family Services Agency,DCRL-2013-D-0063,Substance Abuse Treatment Services,990000,5/11/2013 -                    5/10/2014,No,Base Year,Open,Yes,No,"Phoenix Houses of the Mid-Atlantic, Inc."
Child and Family Services Agency,CFSA-10-C-0174,Family Based Foster Care,43435,7/1/2013 -                    6/30/2014,No,Option Year 3,Open,No,No,Mentor Maryland
Child and Family Services Agency,DCRL-2013-K-0102;DCSS-2013-D-920-003S,IT Equipment,289773.46,7/1/2013 -                    9/30/2013,No,Base Year,DCSS,No,Local                                     Small                                     Resident                                     Enterprise Zone,"MVS, Inc."
Child and Family Services Agency,CFSA-10-C-0058,FACES.NET Maintenance and Support Services,3861600,8/1/2013 -                    7/31/2014,Yes,Option Year 1,Open,No,,"Deloitte Consulting, LLC"
Child and Family Services Agency,CFSA-11-F-0020; GS-35F-0329L,Datacards,154764,8/7/2013 -                    8/6/2014,No,Option Year 2,GSA,No,,"Sprint Communications Company, LP"
Child and Family Services Agency,DCRL-2012-D-0070,Psy. Residential Treatment Facility,131035,8/8/2013 -                    8/7/2014,No,Option Year 1,Sole Source,No,,"Intercept Youth Services, Inc."
Child and Family Services Agency,DCRL-2013-D1-0028,Mobile Crisis Stabilization Services,312267.7,8/16/2013 -                    8/15/2014,Yes,Base Year,Open,Yes,,"PSI Services III, Inc"
Child and Family Services Agency,DCRL-2012-H-0077,Medical Support Services,900000,8/23/2013 -                    8/22/2014,No,Option Year 1,Agreement,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Magnificus Corporation
Child and Family Services Agency,DCRL-2013-R-0090,Home Visitation,204000,8/28/2013 -                    8/27/2014,No,Base Year,Sole Source,No,,"Marys Center for Maternal and Child Care, Inc."
Child and Family Services Agency,RQ816334,Audio Visual (AV) design and installation,190271.25,9/19/2013 -                    9/30/2013,No,Base Year,Agreement,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Advanced Network Consulting, Inc."
Child and Family Services Agency,DCRL-2014-R-0001,Community Based Child Welfare Services,1220842.86,10/1/2013 -                    9/30/2014,No,Base Year,Sole Source,Yes,,Columbia Heights/Shaw Family Support Collaborative
Child and Family Services Agency,DCRL-2014-R-0002,Community Based Child Welfare Services,2185877.48,10/1/2013 -                    9/30/2014,No,Base Year,Sole Source,Yes,,"East River Family Strengthening Collaborative, Inc."
Child and Family Services Agency,DCRL-2014-R-0003,Community Based Child Welfare Services,2536925.84,10/1/2013 -                    9/30/2014,No,Base Year,Sole Source,Yes,,Edgewood/ Brookland Family Support Collaborative
Child and Family Services Agency,DCRL-2014-R-0004,Community Based Child Welfare Services,3002251.5,10/1/2013 -                    9/30/2014,No,Base Year,Sole Source,Yes,,"Far Southeast Family Strengthening Collaborative, Inc."
Child and Family Services Agency,DCRL-2014-R-0005,Community Based Child Welfare Services,966454.32,10/1/2013 -                    9/30/2014,No,Base Year,Sole Source,Yes,,The Georgia Avenue Family Support Collaborative
Child and Family Services Agency,DCRL-2013-C-0014,Consultant Services,669489,10/1/2013 -                    9/30/2014,No,Base Period,Sole Source,Yes,,Center for the Study of Social Policy
Child and Family Services Agency,CFSA-10-C-0013,Consultant Services,450000,10/1/2013 -                    9/30/2014,No,Option Year 4,Sole Source,Yes,,DC Childrens Advocacy/Safe Shore
Child and Family Services Agency,DCRL-2013-R-0098,Consulting Services,115259.8,10/1/2013 -                    9/30/2014,No,Option Year 1,Sole Source,No,,"KVC Behavioral Healthcare Nebraska, Inc."
Child and Family Services Agency,DCRL-2013-H-0039N,Family Based Foster Care Services-Specialized,645096.25,10/1/2013 -                    9/30/2014,No,Base,Open,No,No,"PSI Family Services, Inc."
Child and Family Services Agency,DCRL-2013-H-0039M,Family Based Foster Care Services-Therapeutic,971398.58,10/1/2013 -                    9/30/2014,No,Base,Open,No,No,Lutheran Social Services of the National Capital Area
Child and Family Services Agency,DCRL-2013-H-0039J,Family Based Foster Care Services-Traditional,882789.4,10/1/2013 -                    9/30/2014,No,Base,Open,No,No,Latin American Youth Center
Child and Family Services Agency,DCRL-2013-H-0039L,Family Based Foster Care Services-Traditional,929659.6,10/1/2013 -                    9/30/2014,No,Base,Open,No,No,"KidsPeace National Centers of North America, Inc."
Child and Family Services Agency,DCRL-2013-H-0039H,Family Based Foster Care Services-Traditional,947821.9,10/1/2013 -                    9/30/2014,No,Base,Open,No,No,"Foundations for Home and Community, Inc."
Child and Family Services Agency,CFSA-10-C-0183,Pre-Post Permanency Services,841403.68,10/1/2013 -                    9/30/2014,No,Option Year 3,Open,No,No,"Adoptions Together, Inc."
Child and Family Services Agency,DCRL-2012-R-0059,Psychiatric Residential Treatment Services,645647.75,10/1/2013 -                    9/30/2014,Yes,Option Year One,Sole Source,Yes,,Devereux Georgia
Child and Family Services Agency,CFSA-10-C-0016,Clinical Family Therapy Services,246145,11/1/2013 -                    10/31/2014,No,Option Year 3,Open,No,No,The National Center for Adoption Support & Education  (CASE)
Child and Family Services Agency,DCRL-2013-C-0018,Physician Services,112476,11/1/2013 -                    10/31/2014,No,Option Year 1,Open,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Magnificus Corporation
Child and Family Services Agency,DCRL-2013-R-0096,Father-Child Attachment,144000,11/12/2013 -                    11/11/2014,No,Base Year,Sole Source,Yes,,"Marys Center for Maternal and Childcare, Inc."
Child and Family Services Agency,DCRL-2013-D2-0028,Mobile Crisis Stabilization Services,333864,11/12/2013 -                    11/11/2014,Yes,Base Year,Open,Yes,,"Catholic Charities of the Archdiocese of Washington, Inc."
Child and Family Services Agency,DCRL-2013-R-0142,Consulting Services,133875,11/19/2013 -                    11/18/2014,No,Base Year,Sole Source,Yes,,"Dr. Abyssinia Washington Clinical Consulting, LLC"
Child and Family Services Agency,DCRL-2013-H-0039K,Family Based Foster Care Services-Therapeutic,985157.71,11/26/2013 -                    1/20/2014,No,Base,Letter Contract,No,No,"Foundations for Home and Community, Inc."
Child and Family Services Agency,DCRL-2013-H-0039K,Family Based Foster Care Services-Therapeutic,6421117.24,11/26/2013 -                    11/25/2014,No,Base,Open,No,No,"Foundations for Home and Community, Inc."
Child and Family Services Agency,DCRL-2013-C-0135,System Evaluation Services,128000,12/4/2013 -                    12/12/2014,No,Base,Sole Source,Yes,,"Coordinated Care Services, Inc."
Child and Family Services Agency,DCRL-2013-H-0039A,Family Based Foster Care Services,930521.63,12/12/2013 -                    2/21/2014,No,Base,Letter Contract,No,No,The National Center for Children and Families
Child and Family Services Agency,DCRL-2013-H-0039A,"Family Based Foster Care Services-Traditional, Therapeutic",10243324.11,12/12/2013 -                    12/11/2014,No,Base,Open,No,No,The National Center for Children and Families
Child and Family Services Agency,DCRL-2013-H-0039O,Family Based Foster Care Services-Therapeutic,4686847.67,12/16/2013 -                    12/15/2014,No,Base,Open,No,No,"PSI Family Services, Inc."
Child and Family Services Agency,DCRL-2013-H-0039C,"Family Based Foster Care Services-Traditional, Therapeutic",975891.2,12/16/2013 -                    2/21/2014,No,Base,Letter Contract,No,No,"PSI Family Services, Inc."
Child and Family Services Agency,DCRL-2013-H-0039B,"Family Based Foster Care Services, Traditional",245176.28,1/1/2014 -                    3/1/2014,No,Base,Letter Contract,No,No,"Boys Town Washington DC, Inc."
Child and Family Services Agency,DCRL-2013-H-0039B,"Family Based Foster Care Services, Traditional",1484815.05,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,"Boys Town Washington DC, Inc."
Child and Family Services Agency,DCRL-2013-H-0039I,"Family Based Foster Care Services: Traditional, Therapeutic, Specialized",1459152.85,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,"Seraaj Family Homes, Inc."
Child and Family Services Agency,DCRL-2013-H-0039G,Family Based Foster Care Services-Therapeutic,993754.17,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,"Boys Town Washington DC, Inc."
Child and Family Services Agency,DCRL-2013-H-0039D,Family Based Foster Care Services-Therapeutic,2188362.29,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,KidsPeace National Centers of North America
Child and Family Services Agency,DCRL-2013-H-0039E,Family Based Foster Care Services-Traditional,35716548,1/1/2014 -                    3/1/2014,No,Base,Letter Contract,No,No,Lutheran Social Services of the National Capital Area
Child and Family Services Agency,DCRL-2013-H-0039C,Family Based Foster Care Services-Traditional,1725798.6,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,"PSI Family Services, Inc."
Child and Family Services Agency,DCRL-2013-H-0039E,Family Based Foster Care Services-Traditional,2172760.58,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,Lutheran Social Services of the National Capital Area
Child and Family Services Agency,DCRL-2013-H-0039F,"Family Based Foster Care Services-Traditional, Therapeutic",3478241.35,1/1/2014 -                    12/31/2014,No,Base,Open,No,No,Family Matters of Greater Washington
Child and Family Services Agency,DCRL-2012-R-0008,Physician Services (Psy. Residential Facility),965552.75,1/1/2014 -                    12/31/2014,No,Option Year Two,Sole Source,Yes,,ILIFF Nursing and Rehab Center
Child and Family Services Agency,DCRL-2012-R-0058,Physician Services (Psy. Residential Facility),381004.8,1/1/2014 -                    12/31/2014,No,Option Year Two,Sole Source,Yes,,Devereux Florida
Child and Family Services Agency,DCRL-2013-C-0083,Mental Health Services,999964.5,1/30/2014 -                    1/28/2015,No,Option Year 4,Competitive,Yes,,JMD Counseling & Therapeutic Services
Child and Family Services Agency,DCRL-2013-C-0224,Youth Assessment Services,108355,2/26/2014 -                    2/25/2015,No,Base Year,Open,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Hillcrest Children and Family Center
Child and Family Services Agency,DCRL-2013-R-0041,Training and Technical Assistance  Trauma Systems Therapy,229440,3/11/2014 -                    3/10/2015,No,Option Year 1,Sole Source,Yes,No,"KVC Health Systems, Inc."
Child and Family Services Agency,DCRL-2013-D-0063,Substance Abuse Treatment Services,990000,5/11/2014 -                    5/10/2015,No,Option Year 1,Open,Yes,,"Phoenix Houses of the Mid-Atlantic, Inc."
Child and Family Services Agency,DCRL-2014-F-0062,Develop & Implement/Data Dashboard,225733.46,5/28/2014 -                    5/27/2015,No,Base,GSA,Yes,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"Analytica, Inc."
Child and Family Services Agency,DCRL-2014-C-0126,In-Patient Psychiatric Care,10000,6/12/2014 -                    6/25/2014,No,Base,Emergency,Yes,,Psychiatric Institute of Washington
Child and Family Services Agency,DCRL-2014-C-0077,System Evaluation Services,32946.25,6/17/2014 -                    6/16/2015,No,Base,Sole Source,No,,"Coordinated Care Services, Inc."
Child and Family Services Agency,DCRL-2014-C-0037,Title IV-E Automated Claiming System,432000,6/26/2014 -                    6/25/2015,No,Base,Open,No,,"Sivic Solution Group, LLC"
Child and Family Services Agency,DCRL-2014-F-0086,FACES.net Systems Integrator,192292.59,6/30/2014 -                    6/29/2015,Yes,Base,GSA,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"MindPetal Software Solutions, Inc"
Child and Family Services Agency,DCRL-2014-R-0139,Youth Furniture Supplies & Services,200000,7/3/2014 -                    10/2/2014,No,Base,Emergency,No,,"Quality Wholesale Distributors, LLC"
Child and Family Services Agency (CFSA),DCRL-2013-D-0063,Substance Abuse Treatment Services,990000,5/11/2014 -                    5/10/2015,No,Option Year 1,Open,No,,"Phoenix Houses of the Mid-Atlantic, Inc."
Child and Family Services Agency (CFSA),DCRL-2014-F-0103,Mobile App for Child Welfare Case Management,373740,6/9/2014 -                    6/8/2015,No,Base Year,GSA,No,Local                                     Small                                     Disadvantaged,"EastBanc Technologies, LLC"
Child and Family Services Agency (CFSA),DCRL-2014-Q-0124,IPTV and Audio Reconfiguration,168113.69,8/7/2014 -                    9/30/2014,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Advanced Network Consulting, Inc."
Child and Family Services Agency (CFSA),DCRL-2014-R-0071,Recovery Support Services,471253.4,8/20/2014 -                    8/19/2015,No,Base,Open,No,,"The Family Recovery Program, Inc."
Child and Family Services Agency (CFSA),DCRL-2012-H-0077,Medical Support Services,900000,8/23/2014 -                    8/22/2015,No,Option Year 2,Agreement,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Magnificus Corporation
Child and Family Services Agency (CFSA),DCRL-2012-F-0079,Copiers,237016.8,9/1/2014 -                    8/31/2015,No,Option Year 2,GSA,No,No,"Ricoh USA, Inc."
Child and Family Services Agency (CFSA),DCRL-2014-C-0135,Short Term Child Care Services,320000,9/2/2014 -                    9/1/2015,No,Base Year,Open,No,,Care.com
CITY ADMINISTRATOR / DEPUTY MAYOR,CW21992,FY13-AE0-OCA-DGS Senior Level Program Audit Review,250000,5/17/2013 -                    9/30/2013,No,Base Period,Set Aside,No,,"KPMG, LLP"
CITY ADMINISTRATOR / DEPUTY MAYOR,CW21995,FY13-AE0-OCA-OCP Procurement Consultant,500000,5/17/2013 -                    5/16/2014,No,Base Period,Set Aside,No,,LEFTWICH & LUDAWAY
COMMISSION ON ARTS & HUMANITIES,CW5771,Capacity Building Consultation,100200,3/25/2010 -                    10/30/2010,No,Base Period,Open,No,,MARY ANN DEBARBIERI
COMMISSION ON ARTS & HUMANITIES,CW8561,Services - Capacity Building Consultation - Mary Ann De Barbieri,125263,10/31/2011 -                    10/30/2012,No,Option 1,Open,No,,MARY ANN DEBARBIERI
COMMISSION ON ARTS & HUMANITIES,CW23343,DCBX  -2013 Dodge Grand Caravan,27622,7/26/2013 -                    8/22/2013,No,Base Period,Open,No,,"CRISWELL CHEVEROLET, INC."
COMMISSION ON ARTS & HUMANITIES,CW26205,DCCAH Printing Services,100000,12/23/2013 -                    12/22/2014,No,Base Period,Open,No,,CORPORATE PRESS
COMMISSION ON ARTS & HUMANITIES,CW26848,Fine Art Installation Services,125000,2/25/2014 -                    2/24/2015,No,Base Period,Open,No,,ARTEX INC.
COMMISSION ON ARTS & HUMANITIES,CW26919,fine Art Installation Services,125000,2/28/2014 -                    2/27/2015,No,Base Period,Open,No,,ELYinc
COMMISSION ON ARTS & HUMANITIES,CW26963,Artwork Framing Services,150000,3/10/2014 -                    3/9/2015,No,Base Period,Open,No,,"ExpertsinFraming, LLC"
COMMISSION ON ARTS & HUMANITIES,CW26846,Artwork Framing Services,150000,3/10/2014 -                    3/9/2015,No,Base Period,Open,No,,MNB ART & FRAMING INC.
Commission on National and Community Service,PO-AA-2003-C-0010,Outreach Coordinator,43784,10/9/2002 -                    9/30/2003,No,Base,Open,No,No,Kimberly Flowers
Commission on National and Community Service,AA0P3820092,Professional Services,43784,1/7/2003 -                    12/31/2003,No,Base,Sole Source,No,No,Kara Elias
Commission on National and Community Service,AA0P3820091,Professional Services,30844,1/10/2003 -                    12/31/2003,No,Base,Sole Source,No,No,Shawna Bishop
Criminal Justice Coordinating Council,PO-FJ-2003-K-0101,Program Analyst,27000,7/14/2003 -                    9/30/2003,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged,Answer Staffing Services Inc
Criminal Justice Coordinating Council,DCFJ-2003-C-0100,Consulting Services,65452,7/24/2003 -                    9/30/2003,No,Base,Open,Yes,No,The Urban Institute
Criminal Justice Coordinating Council,POFJ-2003-T-0097,Consulting Services,209024,8/26/2003 -                    8/25/2004,No,Base,GSA,No,No,Bearingpoint LLC
CRIMINAL JUSTICE COORDINATING COUNCIL,CW28181,RFP - Synthetic Drug Report Doc #145697,60000,4/11/2014 -                    9/30/2014,No,Base Period,Open,No,,"Program Research and Analysis, LLC"
Customer Service Operations,CW0P332001,Temporary Professional and Clerical Support Services,100000,11/19/2002 -                    9/30/2003,No,Base,DCSS,No,Local                                     Resident,National Associates Inc
Customer Service Operations,PO-CW-2003-C-0055,Hansens Annual Support and Maintenance,40812,3/17/2003 -                    9/30/2003,No,Base,Single Available Source,No,No,Hansen Information Technologies Inc
D C Department of Housing and Community Development,DCDB-2009-R-0014-A-05,Turnkey Residential Development Project (s),950000,2/1/2010 -                    1/31/2011,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident,Consys Inc
D C Department of Housing and Community Development,DCDB-2009-R-0014-A-04,Turnkey Residential Development Project (s),950000,2/1/2010 -                    1/31/2011,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident,Lakota Construction Inc
D C Department of Housing and Community Development,DCDB-2009-R-0014-A-01,Turnkey Residential Development Project (s),950000,2/1/2010 -                    1/31/2011,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident,The Lexx Group LLC
D C Department of Housing and Community Development,DCDB-2009-R-0014-A-03,Turnkey Residential Development Project (s),950000,2/1/2010 -                    1/31/2011,No,Base,Open,Yes,No,Manna Inc
D C Department of Housing and Community Development,DCDB-2009-R-0014-A-02,Turnkey Residential Development Project (s),950000,2/1/2010 -                    1/31/2011,No,Base,Open,Yes,Local                                     Small                                     Disadvantaged                                     Resident,Micon Constructions Inc
D C Department of Housing and Community Development,DCDB-2009-R-0014-A-06,Turnkey Residential Development Project (s),950000,2/1/2010 -                    1/31/2011,No,Base,Open,Yes,No,Modutech Builders LLC
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2218,Vision Care Service Provider for District Employees,1435260.32,9/10/2009 -                    9/9/2010,No,Option 4,Open,No,,QUALITY PLAN ADMINISTRATORS
D.C. DEPARTMENT OF HUMAN RESOURCES,CW3552,Develop Classification System,990000,9/15/2009 -                    9/14/2010,No,Base Period,Open,No,,DELOITTE CONSULTING
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2242,Develop Compensation System,649512,11/18/2009 -                    10/17/2010,No,Base Period,Open,No,,DELOITTE CONSULTING
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2221,"Aetna, Inc.",145664808.4,12/31/2009 -                    12/30/2010,No,Option 3,Open,No,,AETNA/US HEALTHCARE
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2227,Health Benefits Plan for District Employees,44309867.68,12/31/2009 -                    12/30/2010,No,Option 3,Open,No,,KAISER FOUND HLTH PLAN OF MID
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2239,PayFlex Systems USA,100000,2/28/2010 -                    12/30/2010,No,Base Period,Open,No,,"PAYFLEX SYSTEMS USA, INC."
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2230,Employee Assistance Program Services,423992,6/28/2010 -                    6/27/2011,No,Option 1,Open,No,,COPE INC
